MainID,Rogers et al. chaos tests,,,Determinism tests,,,Adjusted probability of chaos
,LE,RQA,PE,NPE,NPE class,KDE class,
6128,not chaotic,chaotic,not chaotic,0.01065508,stochastic,deterministic,0.03209148
6129,not chaotic,not chaotic,not chaotic,-0.02265034,stochastic,stochastic,0.001002322
6130,chaotic,chaotic,not chaotic,-0.4753217,stochastic,deterministic,0.146005
6131,not chaotic,chaotic,chaotic,0.07212209,stochastic,deterministic,0.3006444
6132,not chaotic,not chaotic,not chaotic,0.137494,stochastic,deterministic,0.002901208
6133,not chaotic,not chaotic,chaotic,0.5976137,stochastic,deterministic,0.03635446
6134,not chaotic,not chaotic,chaotic,0.2835033,stochastic,deterministic,0.03635446
6135,not chaotic,chaotic,chaotic,0.3427232,stochastic,deterministic,0.3006444
6136,not chaotic,not chaotic,chaotic,0.3160343,stochastic,deterministic,0.03635446
6138,not chaotic,chaotic,not chaotic,-0.1600428,stochastic,deterministic,0.03209148
6139,not chaotic,not chaotic,not chaotic,0.07243007,stochastic,deterministic,0.002901208
6140,not chaotic,chaotic,not chaotic,-0.09673385,stochastic,deterministic,0.03209148
6141,chaotic,not chaotic,not chaotic,-0.07785667,stochastic,deterministic,0.146005
6524,chaotic,chaotic,not chaotic,0.05858055,stochastic,deterministic,0.146005
6525,not chaotic,chaotic,not chaotic,0.1046642,stochastic,deterministic,0.03209148
6528,not chaotic,chaotic,not chaotic,-0.4288477,stochastic,deterministic,0.03209148
6529,not chaotic,not chaotic,not chaotic,NaN,NaN,NaN,0.03914069
6530,not chaotic,not chaotic,chaotic,0.5929955,stochastic,stochastic,0.0128419
6633,not chaotic,not chaotic,chaotic,0.470549,stochastic,NaN,0.03635446
6635,not chaotic,not chaotic,not chaotic,0.02705729,stochastic,stochastic,0.001002322
6768,not chaotic,not chaotic,chaotic,NaN,NaN,deterministic,0.3456198
6789,not chaotic,chaotic,not chaotic,NaN,NaN,NaN,0.3170224
6791,not chaotic,chaotic,not chaotic,NaN,NaN,NaN,0.3170224
6798,not chaotic,chaotic,chaotic,NaN,NaN,NaN,0.857518
6801,not chaotic,chaotic,not chaotic,NaN,NaN,NaN,0.3170224
6807,not chaotic,chaotic,chaotic,0.01178413,stochastic,NaN,0.3006444
6820,not chaotic,not chaotic,not chaotic,-0.1702619,stochastic,NaN,0.002901208
6821,not chaotic,chaotic,not chaotic,NaN,NaN,NaN,0.3170224
6822,not chaotic,chaotic,chaotic,NaN,NaN,NaN,0.857518
6825,not chaotic,chaotic,not chaotic,0.1293237,stochastic,NaN,0.03209148
6832,not chaotic,not chaotic,chaotic,0.09080115,stochastic,NaN,0.03635446
6837,not chaotic,not chaotic,not chaotic,0.04716351,stochastic,NaN,0.002901208
6848,not chaotic,not chaotic,not chaotic,0.08770064,stochastic,NaN,0.002901208
6851,not chaotic,not chaotic,not chaotic,0.2201093,stochastic,NaN,0.002901208
6859,not chaotic,chaotic,chaotic,0.1531399,stochastic,NaN,0.3006444
6860,not chaotic,chaotic,not chaotic,-0.3608958,stochastic,NaN,0.03209148
7065,not chaotic,not chaotic,not chaotic,0.2732027,stochastic,deterministic,0.002901208
9191,not chaotic,not chaotic,not chaotic,0.5508196,stochastic,stochastic,0.001002322
9192,not chaotic,chaotic,not chaotic,0.08807822,stochastic,deterministic,0.03209148
9194,not chaotic,not chaotic,not chaotic,0.9069026,deterministic,stochastic,0.01385201
9200,not chaotic,not chaotic,not chaotic,0.6120265,stochastic,stochastic,0.001002322
