MainID,CommonName,SeriesStep,SampleYear,Population,PopulationUntransformed,PopRescale,PopRescale_fd,PopRescale_log,PopRescale_gr
9794,Western capercaillie or Wood grouse,0,1911.0,2.12,2.12,7.37469556992047,N/A,1.99805462271904,N/A
9794,Western capercaillie or Wood grouse,1,1912.0,1.78,1.78,6.19196137474454,-1.18273419517593,1.82325189833912,-0.174802724379927
9794,Western capercaillie or Wood grouse,2,1913.0,2.02,2.02,7.02683257133932,0.83487119659477,1.94973604544824,0.12648414710912
9794,Western capercaillie or Wood grouse,3,1914.0,2.29,2.29,7.96606266750843,0.939230096169116,2.07519035160127,0.125454306153035
9794,Western capercaillie or Wood grouse,4,1915.0,1.82,1.82,6.33110657417701,-1.63495609333143,1.84547503512383,-0.229715316477445
9794,Western capercaillie or Wood grouse,5,1916.0,1.75,1.75,6.0876024751702,-0.243504099006808,1.80625432197055,-0.0392207131532811
9794,Western capercaillie or Wood grouse,6,1917.0,1.99,1.99,6.92247367176497,0.83487119659477,1.93477317277152,0.128518850800978
9794,Western capercaillie or Wood grouse,7,1918.0,1.98,1.98,6.88768737190685,-0.0347862998581157,1.92973537874157,-0.005037794029957
9794,Western capercaillie or Wood grouse,8,1919.0,1.7,1.7,5.91367097587962,-0.974016396027232,1.77726678509729,-0.152468593644274
9794,Western capercaillie or Wood grouse,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,17,1928.0,1.46,1.46,5.07879977928485,N/A,1.62507496975537,N/A
9794,Western capercaillie or Wood grouse,18,1929.0,1.85,1.85,6.43546547375135,1.3566656944665,1.86182417312536,0.236749203369989
9794,Western capercaillie or Wood grouse,19,1930.0,2.27,2.27,7.8964900677922,1.46102459404085,2.06641836552844,0.204594192403078
9794,Western capercaillie or Wood grouse,20,1931.0,1.82,1.82,6.33110657417701,-1.56538349361519,1.84547503512383,-0.220943330404608
9794,Western capercaillie or Wood grouse,21,1932.0,1.36,1.36,4.7309367807037,-1.60016979347331,1.55412323378308,-0.291351801340743
9794,Western capercaillie or Wood grouse,22,1933.0,1.75,1.75,6.0876024751702,1.3566656944665,1.80625432197055,0.252131088187462
9794,Western capercaillie or Wood grouse,23,1934.0,1.63,1.63,5.67016687687281,-0.417435598297385,1.73521854885379,-0.0710357731167519
9794,Western capercaillie or Wood grouse,24,1935.0,1.5,1.5,5.21794497871731,-0.4522218981555,1.65210364214329,-0.0831149067105064
9794,Western capercaillie or Wood grouse,25,1936.0,1.89,1.89,6.57461067318381,1.3566656944665,1.88321536310667,0.231111720963386
9794,Western capercaillie or Wood grouse,26,1937.0,2.2,2.2,7.65298596878539,1.07837529560158,2.03509589439939,0.151880531292719
9794,Western capercaillie or Wood grouse,27,1938.0,1.64,1.64,5.70495317673093,-1.94803279205447,1.74133477587123,-0.293761118528163
9794,Western capercaillie or Wood grouse,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9794,Western capercaillie or Wood grouse,29,1940.0,1.32,1.32,4.59179158127124,N/A,1.5242702706334,N/A
9794,Western capercaillie or Wood grouse,30,1941.0,1.31,1.31,4.55700528141312,-0.0347862998581148,1.51666567124818,-0.0076045993852191
9794,Western capercaillie or Wood grouse,31,1942.0,1.46,1.46,5.07879977928485,0.52179449787173,1.62507496975537,0.108409298507185
9794,Western capercaillie or Wood grouse,32,1943.0,1.56,1.56,5.42666277786601,0.347862998581155,1.69132435529657,0.0662493855412007
9794,Western capercaillie or Wood grouse,33,1944.0,1.65,1.65,5.73973947658904,0.313076698723038,1.74741382194761,0.0560894666510434
9794,Western capercaillie or Wood grouse,34,1945.0,1.6,1.6,5.56580797729847,-0.173931499290576,1.71664216328086,-0.0307716586667535
9794,Western capercaillie or Wood grouse,35,1946.0,1.23,1.23,4.2787148825482,-1.28709309475027,1.45365270341945,-0.262989459861409
9794,Western capercaillie or Wood grouse,36,1947.0,1.41,1.41,4.90486827999427,0.626153397446077,1.5902282384252,0.136575535005751
9794,Western capercaillie or Wood grouse,37,1948.0,1.53,1.53,5.32230387829166,0.417435598297385,1.67190626943947,0.0816780310142671
9794,Western capercaillie or Wood grouse,38,1949.0,1.41,1.41,4.90486827999427,-0.417435598297385,1.5902282384252,-0.0816780310142671
9794,Western capercaillie or Wood grouse,39,1950.0,1.49,1.49,5.1831586788592,0.278290398864923,1.64541465399249,0.0551864155672908
9794,Western capercaillie or Wood grouse,40,1951.0,1.53,1.53,5.32230387829166,0.139145199432462,1.67190626943947,0.0264916154469763
